protein	eCLIP
PUM1	ENCFF969AOQ
FUS	ENCFF777FHS
IGF2BP2	ENCFF977MKB
RBM22	ENCFF039FGP
HNRNPC	ENCFF159HMF
IGF2BP1	ENCFF890VLH
TARDBP	ENCFF259NLI
KHSRP	ENCFF871BYW
PCBP1	ENCFF431FMQ
EIF4G2	ENCFF648LCX
HNRNPL	ENCFF296JHG
TAF15	ENCFF131ZWK
EWSR1	ENCFF890NIT
TIA1	ENCFF298ZAG
RBFOX2	ENCFF582WWR
TRA2A	ENCFF004IIT
HNRNPK	ENCFF448SCQ
FUBP3	ENCFF598NYT
FUS	ENCFF336WDV
HNRNPC	ENCFF105AKX
HNRNPK	ENCFF993NVI
HNRNPL	ENCFF890KEE
IGF2BP1	ENCFF517ECT
KHSRP	ENCFF553APP
PCBP1	ENCFF108TOJ
PCBP2	ENCFF560CDL
RBFOX2	ENCFF154DRN
RBM22	ENCFF933AGU
SFPQ	ENCFF805LKH
SRSF9	ENCFF075NSB
TAF15	ENCFF513PTZ
TIA1	ENCFF640DDA
TRA2A	ENCFF917NGY
